구분,신고(발견),확진,시도,시군구,읍면,리,세부주소,위도,경도,개체구분,위도_clean,경도_clean,geometry,시도_시군구
1209,2021-03-11,2021-03-12,강원도,양구군,양구읍,수인리,산1-1,38.037785,127.930496,폐사체,,,POINT (127.930496 38.037785),강원도 양구군
1210,2021-03-11,2021-03-12,강원도,양구군,양구읍,수인리,산1-1,38.037913,127.930206,폐사체,,,POINT (127.930206 38.037913),강원도 양구군
1211,2021-03-11,2021-03-12,강원도,양구군,양구읍,수인리,산1-1,38.038002,127.93007,폐사체,,,POINT (127.93007 38.038002),강원도 양구군
1212,2021-03-11,2021-03-12,경기도,포천시,영중면,금주리,산136,37.981726,127.275948,폐사체,,,POINT (127.275948 37.981726),경기도 포천시
1213,2021-03-11,2021-03-12,경기도,포천시,관인면,삼율리,산53,38.12548,127.223986,폐사체,,,POINT (127.223986 38.12548),경기도 포천시
1214,2021-03-11,2021-03-12,경기도,포천시,관인면,삼율리,산52,38.12571,127.225261,폐사체,,,POINT (127.225261 38.12571),경기도 포천시
1215,2021-03-11,2021-03-12,강원도,인제군,북면,월학리,산1,38.164836,128.223403,폐사체,,,POINT (128.223403 38.164836),강원도 인제군
1216,2021-03-10,2021-03-12,강원도,춘천시,남산면,백양리,산91,37.81336,127.5794,폐사체,,,POINT (127.5794 37.81336),강원도 춘천시
1217,2021-03-12,2021-03-14,강원도,화천군,사내면,명월리,산48,38.107416,127.517354,폐사체,,,POINT (127.517354 38.107416),강원도 화천군
1218,2021-03-12,2021-03-14,강원도,화천군,사내면,명월리,산82-6,38.094887,127.506092,폐사체,,,POINT (127.506092 38.094887),강원도 화천군
1219,2021-03-12,2021-03-14,강원도,화천군,화천읍,대이리,산1,38.101863,127.751503,폐사체,,,POINT (127.751503 38.101863),강원도 화천군
1220,2021-03-12,2021-03-14,강원도,춘천시,북산면,추전리,산2,38.017858,127.925853,폐사체,,,POINT (127.925853 38.017858),강원도 춘천시
1221,2021-03-12,2021-03-15,경기도,포천시,관인면,삼율리,산1,38.132504,127.221084,폐사체,,,POINT (127.221084 38.132504),경기도 포천시
1222,2021-03-13,2021-03-15,경기도,연천군,연천읍,옥산리,782-7,38.126315,127.079389,폐사체,,,POINT (127.079389 38.126315),경기도 연천군
1223,2021-03-13,2021-03-15,강원도,춘천시,북산면,추전리,산2,38.017542,127.92565,폐사체,,,POINT (127.92565 38.017542),강원도 춘천시
1224,2021-03-13,2021-03-15,강원도,춘천시,북산면,청평리,산184-3,37.986077,127.816453,폐사체,,,POINT (127.816453 37.986077),강원도 춘천시
1225,2021-03-15,2021-03-16,강원도,화천군,화천읍,대이리,산86,38.099786,127.745926,폐사체,,,POINT (127.745926 38.099786),강원도 화천군
